survived,pclass,sex,age,fare
0,2,male,41.14587130893267,36.13653390284273
0,3,male,,14.97773376436823
0,2,male,31.681683958061218,23.344964404938594
0,2,male,18.00675228693224,56.47528526840744
0,1,male,19.68210737080861,131.46614345962797
0,3,male,6.09290863624695,24.542177444159936
0,2,male,26.489479955103366,37.77625340313598
1,3,male,41.00037805595675,16.96612176376312
0,3,male,48.96061855484384,6.116530409472469
1,3,female,26.573081989323512,12.738982537826836
0,3,male,36.88336364813567,12.307576163870937
0,3,male,0.5,25.27718115500646
1,2,male,23.939003514422062,45.949537842661655
0,3,male,23.61092667813431,25.141884476067602
0,2,male,50.87635639915536,46.917563856059736
0,3,male,35.50106845289985,23.31103647826123
0,2,female,36.9195759203285,54.123509747156774
0,3,female,36.1925963539859,21.993144900043955
1,2,female,30.6361982526511,16.34219634462986
0,2,male,51.453114631887814,33.09626021028675
0,3,male,0.5,16.1692458617063
0,3,male,,16.82064062240756
1,1,female,45.81723992295389,30.96097688085394
0,3,male,3.520491655302923,7.701937341659708
0,3,male,,15.906111209107932
1,3,female,19.343714622285567,29.29877113149514
1,3,female,31.537423003788575,5.93880800150114
0,2,male,19.074968666764025,44.741378966406295
0,1,male,43.42812347168631,59.95496452927
1,3,male,25.96293366287007,20.836602980894316
0,3,male,41.84115598900097,7.645008985603497
0,1,female,36.09461770770078,144.93962609703317
0,1,male,18.88690522317626,136.05144185496383
0,3,male,37.02602866553735,7.373841185458275
0,2,female,20.71003318782175,26.334451126587417
1,2,male,30.89779331375963,31.85860247800886
0,1,male,25.707678939142802,50.43109825505232
1,2,female,42.59876612944283,39.09326332523539
0,2,female,37.56451179032385,12.76748946090476
0,3,male,29.569898319533607,7.828398441850591
0,2,female,20.400035119820746,44.76292003777168
1,2,female,12.234119142369945,17.107042679895887
0,2,male,31.89918987006977,41.988760078521125
0,2,female,,12.734231037668277
0,1,male,3.708053793966446,90.76206639369748
0,2,male,11.379600426052495,18.870473506059117
0,3,male,52.762254277584034,10.238365598753141
0,1,male,20.760330610147765,125.08689304305764
1,1,female,45.150278885145624,57.02878828022955
1,1,male,25.006903819224068,111.77521385103263
0,3,male,47.35408689225139,29.797321432991044
1,3,male,46.340296244641294,24.744044343365864
0,1,male,18.440264023390796,97.37735324840122
0,3,female,2.168340664693531,13.643256304824948
0,1,female,3.353513321575516,56.92430108381832
1,3,female,18.678738944620104,6.9745149841557925
0,2,male,,29.258131388627024
0,3,female,,24.618085379483958
0,3,female,32.03341530102836,25.6613413113745
0,2,male,48.24671612684746,38.19335159458833
1,3,female,31.544499083563633,26.99823909095934
1,3,male,31.062474539290847,29.993531806452314
1,2,female,38.717284715232054,38.99171191405452
0,1,female,34.04557657713982,68.95305577163336
1,1,female,28.60746052995121,116.53911218566526
1,3,female,19.899709195235808,11.53112831133956
0,3,male,31.098844472116387,29.54763305717357
0,2,male,45.32159715916397,59.486829885613545
0,3,female,,8.21289171110291
0,3,male,34.09187298196474,5.653958558085496
1,3,female,40.57225589134362,22.208269058316922
1,3,female,33.77622990027937,20.10326572141338
1,3,female,28.777388898349564,28.395390602778647
1,2,female,37.19959910057758,16.431203021959604
1,2,female,46.65065968037478,32.28893737797352
0,3,female,17.590934295731966,11.48038334429966
1,2,male,9.680446167619277,54.465937996415974
0,3,male,22.537884505089472,5.89731877972331
1,1,female,32.96326720619585,89.08291134353877
0,1,male,42.178202646697244,34.39556371185833
0,3,female,16.146890452023165,15.270225025242016
0,3,male,0.5,5.459291363452611
0,2,male,22.867718806605772,37.97376297281731
0,3,male,27.285200840784693,25.118149593535776
1,3,female,13.728171232239866,20.387273991667982
0,3,male,19.414726996557633,23.844515027160384
1,1,female,42.14196774121797,80.14889805544914
1,3,female,31.09368097434539,12.74323054378325
0,3,female,34.83870966053045,17.070252333209258
0,1,male,25.020448757452336,85.07636616784185
0,3,male,19.442454246583438,25.9742774168517
0,3,male,24.919424788061985,12.441842889821142
0,3,female,36.984322718515685,21.494091011327093
0,3,female,9.121517041222965,8.424555557738195
0,2,male,53.10238363764816,33.49892173288972
0,2,female,38.04801893955364,52.895853612178385
0,3,male,22.49767853992999,20.21457886599771
0,3,male,41.38769965041101,18.99638450086193
0,3,male,47.11288693902351,29.027956700541004
1,3,male,25.375267305565863,20.68491388289616
0,1,female,26.96781294328914,95.10905430426962
0,1,male,50.908638988622066,57.96535539202469
0,2,male,59.665652056853375,31.86737862162974
0,1,male,30.412099205953506,128.58426934676234
0,3,male,13.784999140754358,12.587405794725381
1,2,male,23.411569831056184,24.414790227712814
0,3,male,44.46222042256881,29.776412718477175
0,2,male,15.576985855806878,24.34078736035156
1,3,female,27.084035203373737,15.116125711002482
0,3,female,34.096188340042815,6.561188279937687
0,1,female,,129.86869280501298
0,1,female,,62.97573729214807
0,2,male,39.715545212861244,43.94504211151037
1,3,female,,6.412085600087051
1,1,female,40.940452542008806,144.16756469812987
